Company,Strategy,Investment Approach,AUM (INR Cr.),1 Month,3 Month,6 Month,1 Year,2 Year,3 Year,4 Year,5 Year,Since Inception
ENAM ASSET MANAGEMENT CO.PVT.LTD INP000000225,EQUITY,Enam India Opportunities Portfolio,541.24,4.37,2.76,9.93,3.95,17.21,0,0,0,18.34
ENAM ASSET MANAGEMENT CO.PVT.LTD INP000000225,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.61,0,0,0,20.14
ENAM ASSET MANAGEMENT CO.PVT.LTD INP000000225,EQUITY,Enam India Vision Portfolio,819.86,1.87,-1.44,4.63,0.12,12.44,0,0,0,14.39
ENAM ASSET MANAGEMENT CO.PVT.LTD INP000000225,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.61,0,0,0,17.84
PARAG PARIKH FINANCIAL ADVISORY SERVICES LIMITED INP000000241,EQUITY,,,,,,,,,,,
PARAG PARIKH FINANCIAL ADVISORY SERVICES LIMITED INP000000241,EQUITY,Cognito,48.79,1.9,0.26,4.07,5.79,23.19,20.41,16.41,25.87,18.72
PARAG PARIKH FINANCIAL ADVISORY SERVICES LIMITED INP000000241,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,0
ANAND RATHI ADVISORS LIMITED INP000000282,EQUITY,,,,,,,,,,,
ANAND RATHI ADVISORS LIMITED INP000000282,EQUITY,Decennium Opportunity Port -NRI,33.43087,2.14,-1.36,11.18,-5.45,10.12,11.72,0,0,12.01
ANAND RATHI ADVISORS LIMITED INP000000282,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,0,0,13.9
ANAND RATHI ADVISORS LIMITED INP000000282,EQUITY,Decennium Opportunity Portfolio,205.2971,1.74,-1.95,10.48,-7.56,9.88,12.6,0,0,11.22
ANAND RATHI ADVISORS LIMITED INP000000282,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,0,0,12.5
ANAND RATHI ADVISORS LIMITED INP000000282,EQUITY,Flexicap Strategy,1.37569,3.83,3.43,9.47,3.98,0,0,0,0,17.68
ANAND RATHI ADVISORS LIMITED INP000000282,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,0,0,0,0,18.25
ANAND RATHI ADVISORS LIMITED INP000000282,EQUITY,Impress Portfolio,765.55369,4.22,-3.95,12.58,0.7,25.02,21.31,16.32,26.17,14.81
ANAND RATHI ADVISORS LIMITED INP000000282,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,14.58
ANAND RATHI ADVISORS LIMITED INP000000282,EQUITY,Impress Portfolio - NRI,74.26237,4.17,-3.63,12.97,1.73,24.47,21.26,16.09,26.32,16.08
ANAND RATHI ADVISORS LIMITED INP000000282,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,14.13
ANAND RATHI ADVISORS LIMITED INP000000282,EQUITY,MNC Portfolio,155.67574,0.75,-0.15,10.49,-4.42,12.61,11.07,8.76,15.59,12.03
ANAND RATHI ADVISORS LIMITED INP000000282,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,14.93
ANAND RATHI ADVISORS LIMITED INP000000282,EQUITY,MNC Portfolio - NRI,14.96655,0.54,-0.33,11.41,-5.04,11.97,10.58,8.32,15.53,13.89
ANAND RATHI ADVISORS LIMITED INP000000282,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,17.19
ANAND RATHI ADVISORS LIMITED INP000000282,EQUITY,The Alpha I Strategy,10.17457,3.6,2.97,9.73,3.19,20.33,0,0,0,22.99
ANAND RATHI ADVISORS LIMITED INP000000282,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,0,0,0,20.91
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD INP000000365,EQUITY,,,,,,,,,,,
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD INP000000365,EQUITY,Alchemy Alpha 100,16.99,5.12,5.2,10.74,0.57,16.19,0,0,0,14.85
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD INP000000365,EQUITY,Benchmark: NIFTY 50 TRI,,4.62,4.15,6.69,7.59,17.52,0,0,0,14.84
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD INP000000365,EQUITY,Alchemy Alpha Small Cap,8.73,4.1,0.17,11.45,-2.25,0,0,0,0,17.38
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD INP000000365,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,0,0,0,0,14.47
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD INP000000365,EQUITY,Alchemy Ascent,332.21,3.32,1.12,1.95,-20.56,8.75,11.15,6.97,19.74,14.02
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD INP000000365,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,18.31
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD INP000000365,EQUITY,Alchemy High Growth,741.26,6.18,1.14,18.07,2.82,18.62,14.62,10.05,17.88,20.29
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD INP000000365,EQUITY,Benchmark: BSE 500 Composite,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,16.97
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD INP000000365,EQUITY,Alchemy Select Satellite,4.12,3.4,-4.09,7.52,-4.66,0,0,0,0,8.74
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD INP000000365,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,0,0,0,0,16.61
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD INP000000365,EQUITY,Alchemy Select Stock,4606.51,5.49,3.19,15.73,7.23,26.35,21.28,15.18,25.66,20.2
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD INP000000365,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,16.22
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD INP000000365,EQUITY,Alchemy Smart Alpha 250,655.58,3.79,-1.12,7.89,-3.05,21.71,0,0,0,19.8
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD INP000000365,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,0,0,0,16.85
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD INP000000365,EQUITY,Alchemy Smart Alpha Micro and Small Cap,42.8,5.59,0.93,13.04,-11.08,0,0,0,0,8.71
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD INP000000365,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,0,0,0,0,14.47
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD INP000000365,EQUITY,Alchemy W.I.N Strategy,102.54,3.51,-4.25,6.93,-6.31,12.57,0,0,0,12.55
ALCHEMY CAPITAL MANAGEMENT PRIVATE LTD INP000000365,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,0,0,0,19.51
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,,,,,,,,,,,
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS ACE Strategy,1104.12,3.81,4.86,13.72,9.86,31.23,22,16.3,24.34,15.14
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,12.59
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS Banking and Financial Services Strategy,17.72,5.66,4.76,11,10.21,0,0,0,0,15.3
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,0,0,0,0,9.94
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS Contra Strategy,12695.69,3.6,5.06,11.38,7.19,23.4,22.79,19.12,27.68,19.99
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,14.65
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS Defined Tenure Series Strategy,17.66,4.51,5.35,12.34,5.77,23.21,19.54,16.79,24.8,15.2
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,12.93
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS Emerging Leaders Strategy,156.37,3.34,5.44,14.43,5.16,0,0,0,0,11.19
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,0,0,0,0,10.61
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS Enterprising India Strategy,3.97,4.34,3.67,9.54,4.22,12.43,15.05,12.93,22.67,11.07
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,11.93
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS Enterprising India Strategy Series II,0,0,0,0,-11.47,14.56,17.02,14.29,27,12.85
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,15.23
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS ETF Strategy,14.82,4.61,3.65,6.22,5.19,16.97,14.52,11.78,17.74,10.14
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,12.1
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS Growth Leaders Shariah Strategy,59.23,4.13,5.57,12.14,2.33,24.34,22.11,0,0,22.96
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,0,0,16.84
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS Growth Leaders Strategy,1713.94,3.79,4.06,11.47,4.17,24.22,19.48,15.38,22.73,12.55
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,12.93
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS India Recovery Strategy,51.25,4,6.07,20.33,3.09,33.42,31.9,36.17,44.59,31.48
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,16.94
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS Infrastructure Strategy,69.3,4.08,8.2,17.94,7.57,34.61,32.79,28.33,38.89,16.17
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,12.93
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS LargeCap Strategy,885.68,3.61,3.97,9.15,5.04,25.75,21.82,17.21,24.95,16.49
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,15.85
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS Multi-Manager - Core Equity Strategy,228.2,3.5,2.82,6.39,6.04,18.01,16.6,14.33,21.69,14.05
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,14.39
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS Multi-Manager - Thematic Strategy,66.19,3.7,2.26,7.38,6.24,20.58,19.07,15.1,22.85,19
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,14.64
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS PIPE Strategy,7193.83,3.63,6.04,14.72,3.08,21.3,27.32,23.26,33.33,27.43
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,18.65
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS Prime Strategy,656.66,3.51,6.5,14.43,6.13,0,0,0,0,30.37
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,0,0,0,0,18.4
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS Quanti-FI Strategy,45.86,4.04,4.51,7.51,1.77,0,0,0,0,7.93
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,0,0,0,0,11.86
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS SMART Strategy,92.57,4.57,4.44,10.52,4.42,25.65,23.38,21.17,28.67,15.32
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,13.95
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS T.I.M.E Strategy,65.59,3.78,4.46,9.13,1.93,25.78,25.92,24.24,31.02,26.37
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,18.32
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS Value Strategy,1001.6,5.1,7.14,11.83,5.98,25.58,28.49,23.32,29.86,13.33
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,12.93
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,ICICI Prudential PMS Wellness Strategy,54.21,2.98,-0.86,2.72,-1.71,21.44,17.68,11.94,15.06,14.01
ICICI PRUDENTIAL ASSET MANAGEMENT COMPANY LTD. INP000000373,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,15.29
DARASHAW and COMPANY LTD INP000000431,EQUITY,,,,,,,,,,,
DARASHAW and COMPANY LTD INP000000431,EQUITY,Darashaw PMS,43.7125,4.95,5.78,7.95,3.32,15.86,13.76,8.79,15.33,13.81
DARASHAW and COMPANY LTD INP000000431,EQUITY,Benchmark: BSE 500 Total Return Index,,4.27,3.72,8.33,5.32,19.61,16.19,12.99,21.05,13.19
DARASHAW and COMPANY LTD INP000000431,EQUITY,Darashaw RB Trust,2810.0872,4.94,5.69,7.79,2.97,15.51,13.44,9.25,0,11.95
DARASHAW and COMPANY LTD INP000000431,EQUITY,Benchmark: BSE 500 Total Return Index,,4.27,3.72,8.33,5.32,19.61,16.19,12.99,0,17.04
HDFC ASSET MANAGEMENT COMPANY LIMITED INP000000506,EQUITY,,,,,,,,,,,
HDFC ASSET MANAGEMENT COMPANY LIMITED INP000000506,EQUITY,All Cap,49.08,2.07,-0.3,7.22,4.3,17.78,16.44,0,0,17.7
HDFC ASSET MANAGEMENT COMPANY LIMITED INP000000506,EQUITY,Benchmark: BSE 500 Total Return Index,,4.27,3.72,8.33,5.32,19.63,16.2,0,0,18.05
HDFC ASSET MANAGEMENT COMPANY LIMITED INP000000506,EQUITY,Bespoke,93.72,4.49,3.59,5.53,7.89,13.35,11.26,10.95,11.18,10.39
HDFC ASSET MANAGEMENT COMPANY LIMITED INP000000506,EQUITY,Benchmark: Nifty 50 Total Return Index,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,12.65
HDFC ASSET MANAGEMENT COMPANY LIMITED INP000000506,EQUITY,Diversified Portfolio - Equity,611.93,3.51,3.98,7.8,8.35,25.79,24.83,22.75,32.27,19.72
HDFC ASSET MANAGEMENT COMPANY LIMITED INP000000506,EQUITY,Benchmark: BSE 500 Total Return Index,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,18.25
HDFC ASSET MANAGEMENT COMPANY LIMITED INP000000506,EQUITY,Enhanced Portfolio 1,7.67,3.19,2.3,7.4,2.92,14.83,13.48,12.48,21.58,11.47
HDFC ASSET MANAGEMENT COMPANY LIMITED INP000000506,EQUITY,Benchmark: BSE 500 Total Return Index,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,14.63
HDFC ASSET MANAGEMENT COMPANY LIMITED INP000000506,EQUITY,HDFC AMC MF Select Portfolio Equity (Formerly Portfolio of MF Schemes/ETFs),22.6,3.35,5.24,8.06,9.31,25.62,22.74,20.26,28.39,12.7
HDFC ASSET MANAGEMENT COMPANY LIMITED INP000000506,EQUITY,Benchmark: Nifty 50 Total Return Index,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,11.52
HDFC ASSET MANAGEMENT COMPANY LIMITED INP000000506,EQUITY,India Ascent Portfolio,2.99,3.49,-1.35,2.91,-1.27,14.26,0,0,0,13.06
HDFC ASSET MANAGEMENT COMPANY LIMITED INP000000506,EQUITY,Benchmark: BSE 500 Total Return Index,,4.27,3.72,8.33,5.32,19.63,0,0,0,18.62
ATLAS INTEGRATED FINANCE LTD INP000000530,EQUITY,,,,,,,,,,,
ATLAS INTEGRATED FINANCE LTD INP000000530,EQUITY,Debt Equity Hybrid PMS fund,40.26306,-0.99,4.21,8.19,1.77,24.72,20.63,17.43,0,29.15
ATLAS INTEGRATED FINANCE LTD INP000000530,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,0,16.07
ATLAS INTEGRATED FINANCE LTD INP000000530,EQUITY,Midcap PMS Fund,0.75592,2.82,0.05,8.09,3.42,21.96,13.72,8.07,0,9.76
ATLAS INTEGRATED FINANCE LTD INP000000530,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,0,16.43
ATLAS INTEGRATED FINANCE LTD INP000000530,EQUITY,Multicap PMS,1.7158,1.25,-0.03,6.99,3.89,13.42,9.99,6.25,0,5.88
ATLAS INTEGRATED FINANCE LTD INP000000530,EQUITY,Benchmark: BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,0,12.6
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,,,,,,,,,,,
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,ABSL India 200 QUANT EQUITY PORTFOLIO,35.32588,2.66,1.72,5.62,2.06,21.71,19.71,13.34,18.8,13.68
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,13.64
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,ABSL India Equity Services,1.94125,3.7,2.24,6.24,0.7,12.88,0,0,0,11.01
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,0,0,0,17.35
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,ABSL India Equity Services STP,2.31261,3.71,2.13,6.62,2.04,0,0,0,0,2.65
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,0,0,0,0,11.38
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,ABSL Next 100 Portfolio,8.31127,3.43,2.03,7.28,3.86,19.86,12.96,8.93,18.09,13.12
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,15.34
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,ABSL Next 100 Portfolio NR,0,0,0,0,0,0,0.59,-0.41,9.97,7.4
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,14.9
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,ABSL NEXT 100 PORTFOLIO STP,28.91933,3.44,2.39,7.63,4.35,20.08,13.03,8.96,17.82,13.65
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,16.08
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,ADAPT PORTFOLIO - Very Agressive,22.20166,2.71,4.34,7.89,7.28,21.51,19.17,13.22,16.77,12.39
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,12.16
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Core Equity Portfolio,206.56864,4.01,3.91,8.52,4.81,13.01,11.13,9.12,20.32,18.76
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,14.76
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Core Equity Portfolio NR,10.76962,4.09,4,8.79,5.36,13.46,11.51,9.43,20.23,13.29
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,11.92
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,CORE EQUITY PORTFOLIO STP,6.96289,4.04,3.92,8.53,4.69,12.88,10.79,8.71,19.97,13.37
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,14.26
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Customised Equity Portfolio,65.65564,3.04,0.51,8.64,0,0,0,0,0,6.63
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,0,0,0,0,0,7.84
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,INDIA LARGE CAP QUANT EQUITY PORTFOLIO,0.58979,4.56,4.44,4.19,1.53,12.89,10.86,8.41,13.44,12.5
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Benchmark: Nifty 50 TRI,,4.62,4.15,6.69,7.59,17.52,13.91,11.17,18.59,15.71
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,India Special Opportunities Portfolio,464.54124,3.47,1.48,1.23,-3.24,16.2,14.88,12.93,21.5,15.86
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,14.66
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,India Special Opportunities Portfolio NR,259.87887,3.5,1.49,1.3,-3.13,16.48,15.17,13.23,21.35,14.38
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,14.67
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,INDIA SPECIAL OPPORTUNITIES PORTFOLIO STP,627.88638,3.51,1.52,1.31,-2.79,15.67,14.44,12.53,20.68,15.3
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,14.93
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Innovation Portfolio,115.60794,4.9,-0.32,7.21,-0.88,17.4,18.22,14.42,21.4,18.02
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,14.42
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Innovation Portfolio NR,25.84498,4.83,-0.71,6.51,-2.24,16.09,16.65,12.86,19.93,24.43
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,21.06,26.51
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,INNOVATION PORTFOLIO STP,10.03406,4.85,-0.55,6.45,-1.46,15.55,15.32,11.89,0,13.93
BIRLA SUN LIFE ASSET MANAGEMENT COMPANY LIMITED INP000000597,EQUITY,Benchmark: S and P BSE 500 TRI,,4.27,3.72,8.33,5.32,19.63,16.2,13,0,16.08
